p16313coll38	24th General Hospital in World War II	<p>The Tulane Unit and the World War II:   The 24th General Hospital, commonly known as the “Tulane Unit” was composed of personnel from the Tulane School of Medicine and was activated in July 1942.  Colonel Walter C. Royals (Tulane SOM, 1917) was the commanding officer of the Unit.  Thirty Tulane medical graduates and ten Tulane faculty members were included in the complement of forty-two medical doctors.  The unit served:  Fort Benning (July 15, 1942 to August 8, 1943); Bizerte, Tunisia (September 8, 1943 to May 31, 1944); Grosseto, Italy (July 21, 1944 to September 15, 1944); Army headquarters near Florence, Italy (September 21, 1944- ) and Livorno, Italy (June 1, 1945 to June 11, 1945).   The 24th General Hospital Unit received the Fifth Army Plaque and Clasp for meritorious service with the Fifth Army.  In the First World War Tulane also sponsored a medical unit organized by Dr. Rudolph Matas. </p><p> </p><p>S.Harvey Colvin. 24th General Hospital negative collection: Digitized negatives from the Colvin collection from the 24th General Hospital, World War II have been added to the digital collections of Tulane (funded by the History of Medicine Society).  The collection includes 134 scanned (.tiff) negatives taken of the 24th General Hospital (United States. Army). The sites were visited by Colonel Samuel Harvey Colvin, Jr., M.D. The negatives were a gift of Melba Colvin, 1989.</p><p> </p><p>The Rudolph Matas Library of the Health Sciences has other collections related to the 24th General Hospital in WWII as part of the historic collections, such as the Col. Walter C. Royals, MD photo album and the memorabilia collections of Lt. Col. John J. Archinard, Claudia Weaver Archinard and Dr. Edward Des. Matthews.</p>
p120701coll15	Abe L. Shushan Collection	<p>Collection Description</p><p></p><p> Abraham Lazard Shushan, Sr. was born on January 12, 1894 in Bougere (now part of Reserve), LA. First employed during his early teens by Shushan Brothers, a New Orleans wholesale dry goods business established by his father and uncle, Shushan became a partner in the firm in 1916 and president of the firm in 1931. Appointed to the New Orleans Levee Board in 1920 by Governor John M. Parker, he was reappointed by successive administrations and became president of the Board in 1929. It was under his direction that the lakefront sea wall and the New Orleans Lakefront Airport were constructed. A friend and political associate of Huey P. Long, Shushan was an important political figure in Louisiana during the 1920s and 1930s. Shushan died in New Orleans, LA on November 3, 1966. </p><p></p><p> This collection includes photo albums, scrapbooks, papers, and memorabilia of businessman and political figure Abe L. Shushan. </p>
LSU_ACT	Actors and Musicians Photographs, 1880-1920	<p>Publicity photographs of actors and musicians who appeared at New Orleans theaters during the late 19th and early 20th centuries. Handwritten notes on the back of many of the photos identify the individuals, the theater where they appeared, and the name of the play or event. Among the New Orleans houses so identified are the Tulane, Athenaeum, Orpheum, Dauphine, and Crescent Theaters, as well as the French Opera House. The physical collection may be viewed at LSU Libraries' Special Collections.</p>
p15140coll30	Aleman Estate (Hathaway Gibbens) Collection	<p>Government-issued postcards first appeared in Austria in 1869 as an economical means of transmitting a message. They swiftly spread throughout Europe and were adopted in the United States in 1873. Meanwhile, pictorial postcards were introduced in France in 1870. Pictorials did not, however, enjoy immediate popularity in the United States, where such privately printed cards required two cents' postage; government postcards cost only a penny. As of July 1, 1898, the Private Mailing Card Act eliminated this inequity, and privately published postcards appeared in increasing number. Postcards published before that date, whether mailed are not, are known as "pioneers".</p><p>The World's Colombian Exposition, held in Chicago in 1893, led to the emergence of the modern postcard. Charles Goldsmith, a Chicago entrepreneur, obtained from the U.S. Post Office a license to print souvenir views of the fair on government-issued postals. When test sales of four cards met with success, Goldsmith issued sets of ten illustrations packaged in a wrapper. The cards became available in 1892, in time for the exposition's ground-breaking ceremony.</p><p>After the decrease in postage rates in 1893 gave new impetus to the practice of mailing postcards, collecting them became one of the world's most popular hobbies. At first, the Post Office required that one side of the card be given over in its entirety to the recipient's address; any message had to appear on the front with the illustration, necessitating brevity. New regulations issued in 1907 permitted publishers to divide the reverse of the card to accommodate both message and address in a format which remains in use today.The period between 1898 and the outbreak of World War I was the golden age of postcards. Printers in Austria and Germany, where color reproduction was less costly than elsewhere, produced lovely postcards for American publishers. During the fiscal year ending on June 30, 1908, for example, 677,777,798 postcards were mailed in the United States. In addition, vast, uncounted quantities languished, unsent, in collectors' albums. At the time, the population of the United States was 88,700,000.</p><p>Interest in collecting postcards, after reaching the proportion of a national mania for nearly two decades, diminished abruptly in 1914 because of the onset of World War I and the popularity of newfangled folded greeting cards. As a result, postals dating from the 1920s through the 1960s are more scarce than older specimens. Early collectors called their hobby "cartephilia" or "philocarty", Greek for "a hopeless love of cards". A new wave of postcard collecting commenced in the 1970s, indulged in by a visually literate public which discovered them to be attractive souvenirs of travel and leisure activities, compact to store, and convenient for brief messages. To this generation of collectors their avocation is "deltiology", derived from Greek words meaning "small picture" and "knowledge".</p><p>During the golden age of postcard-collecting, one of the collectors was young Anne Hathaway Gibbens, known familiarly as Hathy. As a student of the Ursuline nuns in New Orleans between ca. 1906 and 1910, Hathaway was sent postcards by her mother and other relatives. Hathaway also received postcards, chiefly from friends, at various Gibbens family residences in New Orleans, Louisiana and in Ocean Springs and Bay St. Louis, Mississippi. She arranged the cards in albums, supplementing her own acquisitions with a small quantity of postcards addressed to her sister Gladys and to Will J. Gibbens, who presumably was her brother.</p><p>Represented most prominently in Hathaway Gibbens' collection are viewcards, those which depict a building or scene; there are just a few subject cards and no advertising postcards. The largest two series in the collection contain Louisiana and Mississippi scenes. Such postcards became available in the late 1890s. Some provide the earliest color images of small-town and rural sites and structures or the only surviving illustration of a building or an event.</p><p>Browse postcards by series:</p>
AWW	Alfred and William Waud Collection	No description
AAW	America at War	No description
ABW	America Between the Wars 1920-1940	No description
AMA	American Missionary Association Photographs, 1839-1954	<p>The American Missionary Association  and the Promise of a Multicultural America: 1839 - 1954 is a digital  photo archives of more than 5000 photographs of the activities of and  related to the American Missionary Association. Photographers working  with the American Missionary Association traveled through urban and  rural communities within the continental United States of America, as  well as across oceans to other lands, and visually recorded the foreign  environments and people who lived within them. The photographs document  the experiences and lives of various ethnic groups of the world. They  provide visual support to the textual documents of the American  Missionary Association archives, housed at the Amistad Research Center. </p>
p16313coll47	Amistad Research Center Oral History Collection	<p>The audiovisual holdings at the Amistad Research Center contain over 1000 oral history interviews. These interviews focus on the racial and ethnic history of the United States, race relations, and the Civil Rights Movement. Interviewees include authors, artists, musicians, civil rights activities, farmers, business and labor leaders, and everyday people.</p>
p16313coll1	Andrew Augustus Gunby Photograph Collection	<p>The Andrew Augustus Gunby Collection contains photographic images of the family and friends of Andrew Augustus Gunby (1849-1917) who was a lawyer, educator, author, and Louisiana appeals court judge (1881-1892) from Monroe, Louisiana. Family includes Gunby’s grandfather, Colonel Thomas Cunningham Standifer and Gunby’s son, Colonel Thomas Standifer Gunby.  Gunby papers can be found in Special Collections (M-80-23) and at Louisiana State University Special Collections (Mss.3266). Gunby was a graduate of LSU and was a founder of the Louisiana Chautauqua near Ruston. He was active in the anti-lottery campaign of 1892.  Many of the images were taken by well-known photograhers of the time.  </p>
