p16313coll51	Free People of Color in Louisiana	<p>View all items in this collection.</p><p> </p><p>Get more information about this project.</p><p> </p><p>See the complete annotated list of the selected collections, including links to finding aids when available.</p><p> </p><p>This project brings together materials from LSU Libraries Special Collections, The Historic New Orleans Collection, the Louisiana Research Collection in Tulane University Special Collections, the Historical Center at the Louisiana State Museum, and the Louisiana Division of the New Orleans Public Library.  In Digitizing, these records allow us to reunite collections from the same families that were divided across repositories as well as scattered documents, making these materials accessible in one place for the use of historians, genealogists, students, teachers, and the general public.</p><p> </p><p>Digitized collections include entire collections of papers from families or individuals that were free people  of color. Many of these extend, chronologically, beyond the end of slavery. Being a free person of color ceased to have legal meaning after emancipation and the passage of the 13th Amendment, but having been a member of that class continued to have cultural, racial, social, economic, and political implications for those who had been free people of color in the antebellum period, and for generations of their descendants. For this reason, we have chosen to digitize  entire collections and not set an arbitrary cut-off date for materials.</p><p> </p><p>Because of the relative dearth lack of personal and family papers for free people of color, public records are a particularly important source for researchers. This project will digitize significant collections of public records  from the New Orleans Public Library’s Louisiana Division, including a  four-volume “Register of free persons of color entitled to remain in the state”  (1840-1864), four different collections of emancipation records, which often  include testimony regarding why the slave was deserving of freedom and provide other information about the slave and slave owner, and an extensive collection of indenture records (1809-1843) in which at least one participant (the person being indentured, his/her sponsor, or the artisan/merchant to whom the servant was being bound) was a free person of color.</p><p> </p><p>Finally, many items have been selected for digitization from larger collections that are not primarily related to free  people of color. Bringing these items together from the disparate collections in which they exist will facilitate comparison and help to provide a larger body of information for researchers about the norms of living conditions and race relations for free people of color during the colonial and antebellum eras. </p><p> </p><p></p>
p16313coll29	French Colonial, Spanish Colonial, and Nineteenth-Century Louisiana Documents	<p>The Louisiana Research Collection is a major research center for studying the French influence in Louisiana from colonial times to the present. This online collection features French-language documents with a special emphasis on the French colonial period including papers of Vincent Guillaume Le Senechal Dauberville (Commissioner of the Marine), documents of John Law’s Company of the Indies, correspondence between the Marquis de Mezieres and his agents in Louisiana, and papers of the Coulange, Duverges, Dubreuil, Huchet de Kernion, and Vilemont families.</p><p> </p><p>This collection is best viewed with a browser other than Firefox. Optimal browsers include Chrome, Internet Explorer or Safari. Firefox does not render the PDFs accurately, however they do display. The result is very washed out and over-exposed.</p>
LSU_GSC	G. H. Suydam Photograph Album	<p></p><p> </p><p>The collection contains commercial photographs of twelve (12) scenes of Baton Rouge and eight (8) photographs of ships of the West Gulf Blockading Squadron (Admiral Farragut's fleet) on the Mississippi River at Baton Rouge. Captain G. H. Suydam of the 162nd New York Volunteers Infantry, U.S.A., secured these during his service with the Federal Army at Baton Rouge in the Spring of 1863. Three (3) of the images have the McPherson and Oliver back stamp.</p><p>Most of the photographs have handwritten memoranda on the back (verso) identifying the images on the front (recto). These memoranda have been transcribed directly from the versos as captions for the images. Notes created in house have been used for any images without memoranda.The collection also includes: a copy of the Natchitoches (La.) Union, January 29, 1863; a copy of The New Orleans Times, April 15, 1864; a copy of the Freemasons' Monthly Magazine, vol. IV, no. 8, June 1, 1845.</p>
DUBLIN2	Generic Collection Template (Dublin 2)	No description
p16313coll20	Germany’s Wild Medicinal Plants (Deutschlands wildwachsende Arzney-Pflanzen)	<p>Monroe Library’s Special Collections and Archives is proud to display reproductions from one of the most beautiful volumes in our collection, Deutschlands wildwachsende Arzney-Pflanzen by German botanist Johann Gottlieb Mann. Published in 1828, Deutschlands wildwachsende Arzney-Pflanzen (Germany’s Wild Medicinal Plants) contains hand-colored lithographs of medical plants, flowers, and fruits. Following the illustrations is the Latin name and German description for each plant. </p><p>In the introduction to the volume, Mann states that his goal in publishing the work was two-fold: to present a collection of realistic drawings of medicinal plants for the use of doctors, veterinarians and pharmacists who would not otherwise have the time or opportunity to study the plants in nature, and to give a simple and precise description of the plants along with where they may be found and when they are in season. Mann’s illustrations transcend their original, utilitarian purpose of assisting medical professionals, however; they are works of art.</p><p>This digital collection includes selections of illustrations from the book. To view the book in its entirety, contact Loyola University Special Collections & Archives at archives@loyno.edu.</p>
LSU_GCS	George C. Strong Photograph Album	<p>The album contains two (2) photographs of sites around the United States Military Academy (USMA), West Point, New York, and forty two (42) photographic portraits of cadets in the classes of 1857 and 1858. The album pages contain holographic inscriptions stating: the place; the name of the sitter; whether the sitter graduated in the class of 1858 rather than the class of 1857; if the sitter did not graduate at all; an occasional personal note about the sitter, and; if they fought as a "rebel" in the American Civil War, 1861-1865. The four (4) unnamed images in the album - Edward Porter Alexander, Robert H. Anderson, Thomas J. Berry, and Aurelius F. Cone - have been authenticated by the USMA archives. There is also one (1) newspaper clipping ca. 1891 relating the death of Rear Admiral Christopher Raymond Perry Roger, United States navy, (Ret.)</p><p>The Photographer George Crockett Strong (1832-1863), a native of Vermont, received an appointment from Massachusetts to attend the United States Military Academy, West Point, New York. Concentrating in ordnance, he graduated fifth in his 1857 class of thirty-eight cadets. Initially appointed second lieutenant, Ordnance, July 1859, Strong steadily rose through the ranks. In late 1861 he joined Benjamin F. Butler's staff as adjutant, actively took part in planning the Union expedition against New Orleans, and eventually became Butler's chief of staff. Appointed brigadier general in June 1863, Strong was reassigned to the South Carolina coast where, at the head of a brigade, he received a mortal wound at Battery Wagner. He attained the rank of major general posthumously in July 1963.</p>
GFM	George Francois Mugnier Collection	No description
LSU_GFM	George Francois Mugnier New Orleans Scenes	<p> </p><p> </p><p>George Francois Mugnier was born in France on January 1, 1855. He arrived in New Orleans by 1868. Originally a watchmaker, he turned to photography in 1884 opening a studio on Exchange Alley. Mugnier gained some fame as a photographer of views and landscapes in New Orleans and the surrounding region. The images document general city views of New Orleans, steamboats, riverfront activities, sugar refineries, cemeteries, and specific buildings. The physical collection can be viewed at Louisiana State University's Hill Memorial Library.</p>
p120701coll26	Graduation Programs of the LSU Health Sciences Center, New Orleans	<p>Printed graduation programs from commencement ceremonies at LSU Medical Center and LSU Health Sciences Center, New Orleans, 1933 – present.This collection includes names of all graduating students from the LSU campus in New Orleans, LA, including the School of Medicine, School of Dentistry, School of Nursing, School of Allied Health, School of Graduate Studies and School of Public Health.</p>
p16313coll8	Gras-Lauzin Family Papers	<p></p><p> </p><p>View all items in collection</p><p> </p><p>This collection is comprised of 71 letters of the Civil War period written to Miss Henrietta Lauzin (born 1842) of West Baton Rouge, principally from her friend Amelia Faulkner of Faulkland Plantation in Louisiana, and Confederate soldiers Francis F. Palms and Frank Babin. Topics include the young ladies’ favoring soldiers over those who did not join the army and their contributions to the war effort, the courtship of friends and family in the context of the war, and experiences on the home front and in the army. The correspondence between Babin and Lauzin illustrates the developing and undefined character of their relationship.</p><p> </p><p>Biographical Information</p><p>Henrietta Bernadine Lauzin (1842-1929) was born in Pointe Coupée Parish, the daughter of Leocadie Teetzman and Dr. Jean Lauzin, and the great-grand-daughter of Antion Gras, a settler from Spain and prominent merchant and landowner of Baton Rouge. By 1860, her father had died, and Henrietta, her mother and brother Leopold Paul (1846-1863), and grandmother Leocadie Gras Teetzman Walters and three of her children from her second marriage were living in Baton Rouge. During the war she corresponded with female friend Amelia Faulkner of Faulkland Plantation and Confederate soldiers Francis Palms and Frank Babin, among others.</p><p> Francis Palms (1837-1904) enlisted as a private in the Confederate Army on May 23, 1861, at Camp Moore, Louisiana. He was assigned to Co. F of the Delta Rifles, which was part of the 4th Louisiana Infantry. Following the war, he returned to his birthplace of Detroit, Michigan, where he helped to manage his father's many interests. Frank Babin enlisted as a private in the Confederate Army and was assigned to Company I, which was a part of the 2nd Louisiana Cavalry. At one point in their correspondence, he asks Henrietta to marry him.</p><p>Henrietta Lauzin married Virginia native and Civil War veteran John William Amiss on August 5, 1867.</p><p>View the complete collection finding aid: http://www.lib.lsu.edu/special/findaid/0005m.pdf</p><p> </p>
